Team,Accuracy,F1-Score
Menna-Mahmoud1,94.88,94.9
mennataha511-dotcom,93.25,93.3
mariam-essam2,92.12,92.13
MahmoudHanySalem,91.25,91.32
mentae55,91.12,91.11
mariammoatazmokhtar-crypto,88.0,88.16
Maryam-Aly,79.38,80.32
Swilem987,80.0,80.21
MalakMohamed44,73.5,73.99
